Experiment,Trait,P_f name,F_1 name,P_m name,P_f value,F_1 value,P_m value
EXP001,Rate of Seed Setting,PA64s,LYP9,93-11,16.6894549307711,44.8677690528122,83.8725215089918
EXP001,Rate of Seed Setting,PA64s,LYP9,93-11,30.1696612000348,41.8950006262466,66.2527946501527
EXP001,Rate of Seed Setting,PA64s,LYP9,93-11,19.6411731544207,51.1395493445154,76.2229871986842
EXP001,Rate of Seed Setting,PA64s,LYP9,93-11,32.7354747565268,42.6831004167267,68.4629951382555
EXP001,Panicle per Plant,PA64s,LYP9,93-11,6,10,13
EXP001,Panicle per Plant,PA64s,LYP9,93-11,8,10,12
EXP001,Panicle per Plant,PA64s,LYP9,93-11,7,11,13
EXP001,Panicle per Plant,PA64s,LYP9,93-11,6,11,13
EXP001,Thousand Grain Weight,PA64s,LYP9,93-11,23.428185693848,29.9773628140778,30.7377957805008
EXP001,Thousand Grain Weight,PA64s,LYP9,93-11,24.290991638608,30.0169859718288,30.137280805388
EXP001,Thousand Grain Weight,PA64s,LYP9,93-11,23.4232891003636,30.6087592320765,30.9268605713223
EXP001,Thousand Grain Weight,PA64s,LYP9,93-11,24.2418726455723,29.9117103464339,31.3206112510533
EXP001,Spikelets per Panicle,PA64s,LYP9,93-11,102,182,152
EXP001,Spikelets per Panicle,PA64s,LYP9,93-11,103,183,152
EXP001,Spikelets per Panicle,PA64s,LYP9,93-11,103,184,155
EXP001,Spikelets per Panicle,PA64s,LYP9,93-11,101,183,153
